               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.036277,           0.0075364,            0.003613,             0.96241,             0.94868,             0.97037,             0.49736,            0.039875,           0.0047664,           0.0012086,           0.0091288,           0.0091288,           0.0091288
                  46,            0.036234,           0.0076485,           0.0054842,             0.65802,             0.87322,             0.77805,             0.27326,             0.04861,           0.0048772,           0.0012202,            0.009109,            0.009109,            0.009109
                  47,            0.037919,           0.0069202,           0.0028934,             0.93367,             0.92427,              0.9378,              0.4332,            0.042739,            0.004845,              0.0013,           0.0090892,           0.0090892,           0.0090892
                  48,             0.03651,           0.0077091,           0.0032222,              0.9766,             0.98571,              0.9763,             0.54028,            0.030916,           0.0049401,            0.001241,           0.0090694,           0.0090694,           0.0090694
                  49,            0.035511,           0.0070556,            0.003614,             0.89639,              0.9409,             0.96546,             0.47288,            0.036491,           0.0049451,           0.0011152,           0.0090496,           0.0090496,           0.0090496
                  50,            0.037071,           0.0073377,           0.0038929,             0.97443,             0.98571,             0.97298,             0.52962,            0.030993,           0.0047721,           0.0011342,           0.0090298,           0.0090298,           0.0090298
                  51,            0.033311,            0.007524,           0.0036253,             0.82227,             0.81353,             0.85745,             0.31267,            0.045823,           0.0048616,           0.0010295,             0.00901,             0.00901,             0.00901
                  52,            0.035959,           0.0068349,           0.0028651,             0.98068,             0.98571,             0.97665,             0.44489,            0.038432,           0.0047982,           0.0011147,           0.0089902,           0.0089902,           0.0089902
                  53,            0.034717,            0.006852,           0.0030153,             0.99256,             0.99966,               0.995,             0.52387,            0.032809,           0.0046917,           0.0011828,           0.0089704,           0.0089704,           0.0089704
                  54,            0.034117,           0.0070414,           0.0037186,             0.92031,             0.97143,             0.95226,              0.4308,            0.042499,           0.0047689,          0.00099123,           0.0089506,           0.0089506,           0.0089506
                  55,            0.035672,            0.007169,           0.0035425,             0.95092,             0.94868,             0.96316,             0.36875,             0.04357,           0.0046418,          0.00090231,           0.0089308,           0.0089308,           0.0089308
                  56,            0.037085,           0.0073024,           0.0026501,             0.97724,             0.92632,             0.95144,             0.50728,            0.036688,           0.0045085,          0.00084076,            0.008911,            0.008911,            0.008911
                  57,            0.031222,           0.0072086,           0.0040712,             0.94026,             0.91587,             0.97079,             0.43368,            0.039097,           0.0046998,           0.0010878,           0.0088912,           0.0088912,           0.0088912
                  58,            0.035312,           0.0069198,           0.0039967,             0.83927,             0.88403,             0.87769,             0.39475,            0.038596,           0.0047154,           0.0012937,           0.0088714,           0.0088714,           0.0088714
                  59,            0.034486,            0.007387,           0.0040756,             0.93024,             0.93439,              0.9319,             0.39086,            0.041453,           0.0047051,           0.0015639,           0.0088516,           0.0088516,           0.0088516
                  60,            0.031617,           0.0073374,           0.0033667,             0.94384,             0.94868,             0.95008,             0.44859,            0.037607,           0.0045805,           0.0014158,           0.0088318,           0.0088318,           0.0088318
                  61,            0.028353,           0.0071688,           0.0030513,              0.9177,             0.95077,             0.96232,             0.53725,            0.028489,           0.0046424,            0.001076,            0.008812,            0.008812,            0.008812
                  62,            0.033892,            0.007629,           0.0032697,             0.96613,             0.97143,             0.96506,             0.59624,             0.02703,           0.0045837,          0.00099434,           0.0087922,           0.0087922,           0.0087922
                  63,            0.033194,           0.0077121,            0.003535,             0.97498,             0.94415,             0.96811,             0.56656,            0.034362,           0.0046806,           0.0010206,           0.0087724,           0.0087724,           0.0087724
                  64,            0.031433,           0.0071593,            0.002952,             0.97486,             0.94868,             0.97153,             0.53075,            0.036666,           0.0046383,          0.00094269,           0.0087526,           0.0087526,           0.0087526
                  65,            0.034714,            0.007025,           0.0030138,             0.97603,             0.98571,             0.98282,             0.43991,            0.038424,           0.0046905,          0.00091143,           0.0087328,           0.0087328,           0.0087328
                  66,            0.034657,           0.0071307,           0.0033267,             0.97268,             0.98571,             0.97583,             0.53914,            0.034356,           0.0045789,          0.00097706,            0.008713,            0.008713,            0.008713
                  67,            0.028927,           0.0074412,           0.0032307,              0.9434,              0.9492,             0.97418,             0.45249,            0.041736,           0.0045001,           0.0010435,           0.0086932,           0.0086932,           0.0086932
                  68,            0.033028,           0.0065953,           0.0022374,             0.95856,             0.98495,             0.97581,             0.45693,            0.040423,           0.0045614,           0.0009621,           0.0086734,           0.0086734,           0.0086734
                  69,            0.033608,           0.0070589,            0.002574,             0.89894,             0.90651,             0.90169,             0.38031,            0.041526,           0.0046598,           0.0010821,           0.0086536,           0.0086536,           0.0086536
                  70,            0.030858,           0.0068296,           0.0019358,             0.97354,             0.98571,             0.97632,              0.5839,            0.028053,           0.0045093,           0.0011707,           0.0086338,           0.0086338,           0.0086338
                  71,            0.030464,           0.0071643,           0.0021347,             0.97932,             0.98571,             0.97588,              0.5977,            0.028612,           0.0045555,           0.0011112,            0.008614,            0.008614,            0.008614
                  72,            0.032039,           0.0069015,           0.0021138,              0.9814,             0.98571,             0.97749,             0.55695,            0.030218,           0.0046661,           0.0010402,           0.0085942,           0.0085942,           0.0085942
                  73,             0.03207,           0.0069057,           0.0025771,             0.98253,             0.98571,             0.97405,             0.57368,            0.030164,            0.004577,           0.0010374,           0.0085744,           0.0085744,           0.0085744
                  74,            0.030264,           0.0065752,           0.0033576,             0.98053,             0.96885,             0.96049,             0.38866,             0.04035,           0.0046045,          0.00094093,           0.0085546,           0.0085546,           0.0085546
                  75,            0.031723,            0.007006,           0.0021366,             0.96911,             0.96967,             0.96292,             0.40698,            0.039054,           0.0044675,           0.0012131,           0.0085348,           0.0085348,           0.0085348
                  76,            0.030225,           0.0068622,           0.0029038,             0.98504,             0.98486,             0.97442,             0.44804,            0.037877,             0.00439,            0.001303,            0.008515,            0.008515,            0.008515
                  77,            0.027213,           0.0062116,           0.0022408,             0.98182,             0.98413,             0.97452,             0.50233,            0.031317,           0.0045475,           0.0010769,           0.0084952,           0.0084952,           0.0084952
                  78,            0.031218,           0.0066622,           0.0023437,             0.97477,             0.98049,             0.97614,             0.54541,            0.028719,           0.0045458,          0.00088408,           0.0084754,           0.0084754,           0.0084754
                  79,            0.031487,           0.0064802,           0.0016722,             0.85739,             0.98496,             0.95688,             0.56903,            0.031974,           0.0046411,          0.00084106,           0.0084556,           0.0084556,           0.0084556
                  80,             0.02985,           0.0065931,           0.0018189,             0.93518,             0.96662,             0.97067,             0.51235,            0.039982,           0.0047452,           0.0010688,           0.0084358,           0.0084358,           0.0084358
                  81,             0.03155,           0.0066788,           0.0033839,             0.97624,             0.98379,             0.97587,             0.47046,            0.037426,           0.0046821,           0.0012049,            0.008416,            0.008416,            0.008416
                  82,            0.032725,            0.006387,           0.0022081,             0.97839,             0.98368,             0.97791,             0.53275,            0.031669,           0.0045681,           0.0013899,           0.0083962,           0.0083962,           0.0083962
                  83,            0.028774,           0.0065062,           0.0030731,              0.9786,             0.98349,             0.97887,              0.4993,            0.033677,            0.004682,           0.0013435,           0.0083764,           0.0083764,           0.0083764
                  84,            0.028775,           0.0062123,           0.0026983,              0.9933,              0.9984,               0.995,             0.56027,            0.034192,            0.004687,           0.0011982,           0.0083566,           0.0083566,           0.0083566
                  85,            0.032409,           0.0065753,           0.0029438,             0.98393,               0.983,             0.97932,             0.55654,            0.030563,           0.0047408,            0.001174,           0.0083368,           0.0083368,           0.0083368
                  86,            0.029301,           0.0062947,           0.0029181,             0.98189,             0.98499,             0.97808,             0.48183,            0.034021,           0.0047912,           0.0011503,            0.008317,            0.008317,            0.008317
